# Time [s], Mass [Kg]
1.000000000000000000e+00,1.103177148479999869e-01
2.000000000000000000e+00,1.103177148479999869e-01
3.000000000000000000e+00,1.103177148479999869e-01
4.000000000000000000e+00,1.103177148479999869e-01
5.000000000000000000e+00,1.103177148479999869e-01
6.000000000000000000e+00,1.103177148479999869e-01
7.000000000000000000e+00,1.103177148479999869e-01
8.000000000000000000e+00,1.103177148479999869e-01
9.000000000000000000e+00,1.103177148479999731e-01
1.000000000000000000e+01,1.103177148479999731e-01
1.100000000000000000e+01,1.103177148479999453e-01
1.200000000000000000e+01,1.103177148479999176e-01
1.300000000000000000e+01,1.103177148479998482e-01
1.400000000000000000e+01,1.103177148479997510e-01
1.500000000000000000e+01,1.103177148479995984e-01
1.600000000000000000e+01,1.103177148479993486e-01
1.700000000000000000e+01,1.103177148479989600e-01
1.800000000000000000e+01,1.103177148479983632e-01
1.900000000000000000e+01,1.103177148479975028e-01
2.000000000000000000e+01,1.103177148479962538e-01
2.100000000000000000e+01,1.103177148479944775e-01
2.200000000000000000e+01,1.103177148479919656e-01
2.300000000000000000e+01,1.103177148479884961e-01
2.400000000000000000e+01,1.103177148479837361e-01
2.500000000000000000e+01,1.103177148479772968e-01
2.600000000000000000e+01,1.103177148479686648e-01
2.700000000000000000e+01,1.103177148479572156e-01
2.800000000000000000e+01,1.103177148479421998e-01
2.900000000000000000e+01,1.103177148479226460e-01
3.000000000000000000e+01,1.103177148478974162e-01
3.100000000000000000e+01,1.103177148478650949e-01
3.200000000000000000e+01,1.103177148478240027e-01
3.300000000000000000e+01,1.103177148477721414e-01
3.400000000000000000e+01,1.103177148477071101e-01
3.500000000000000000e+01,1.103177148476260638e-01
3.600000000000000000e+01,1.103177148475256580e-01
3.700000000000000000e+01,1.103177148474019931e-01
3.800000000000000000e+01,1.103177148472504754e-01
3.900000000000000000e+01,1.103177148470657898e-01
4.000000000000000000e+01,1.103177148468417884e-01
4.100000000000000000e+01,1.103177148465713381e-01
4.200000000000000000e+01,1.103177148462462787e-01
4.300000000000000000e+01,1.103177148458572426e-01
4.400000000000000000e+01,1.103177148453935441e-01
4.500000000000000000e+01,1.103177148448429984e-01
4.600000000000000000e+01,1.103177148441917971e-01
4.700000000000000000e+01,1.103177148434242999e-01
4.800000000000000000e+01,1.103177148425228821e-01
4.900000000000000000e+01,1.103177148414676567e-01
5.000000000000000000e+01,1.103177148402363222e-01
5.100000000000000000e+01,1.103177148388038847e-01
5.200000000000000000e+01,1.103177148371424499e-01
5.300000000000000000e+01,1.103177148352208481e-01
5.400000000000000000e+01,1.103177148330044266e-01
5.500000000000000000e+01,1.103177148304547439e-01
5.600000000000000000e+01,1.103177148275291120e-01
5.700000000000000000e+01,1.103177148241803740e-01
5.800000000000000000e+01,1.103177148203564328e-01
5.900000000000000000e+01,1.103177148159998483e-01
6.000000000000000000e+01,1.103177148110473932e-01
