Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,9.72e+11,1.0,0.0,4487.678142146108,1959.9126192207264,1.23e+05,113196.1814223342,26888.396329904568,0.0,0.00022000596125284407,0.742942665857568,0.8141403207277638,0.8837353431169308,0.0744130766785643,2.706611058463639,0.0,1683.0,1235.0,
0,75.7000,9.72e+11,1.0,0.0,4487.678142146108,1959.9126192207264,1.23e+05,113196.1814223342,26888.396329904568,0.0,0.00022000596125284407,0.742942665857568,0.8141403207277638,0.8837353431169308,0.0744130766785643,2.706611058463639,0.0,1683.0,1235.0,
1,164.3310,9.72e+11,1.0,0.0,4487.678142146108,1959.9126192207264,1.23e+05,113196.1814223342,26888.396329904568,0.0,0.00022000596125284407,0.742942665857568,0.8141403207277638,0.8837353431169308,0.0744130766785643,2.706611058463639,0.0,1683.0,1235.0,
2,260.6990,9.72e+11,1.0,0.0,4487.678142146108,1959.9126192207264,1.23e+05,113196.1814223342,26888.396329904568,0.0,0.00022000596125284407,0.742942665857568,0.8141403207277638,0.8837353431169308,0.0744130766785643,2.706611058463639,0.0,1683.0,1235.0,
3,359.5730,9.72e+11,1.0,0.0,4487.678142146108,1959.9126192207264,1.23e+05,113196.1814223342,26888.396329904568,0.0,0.00022000596125284407,0.742942665857568,0.8141403207277638,0.8837353431169308,0.0744130766785643,2.706611058463639,0.0,1683.0,1235.0,
4,462.9990,9.72e+11,1.0,0.0,4487.678142146108,1959.9126192207264,1.23e+05,113196.1814223342,26888.396329904568,0.0,0.00022000596125284407,0.742942665857568,0.8141403207277638,0.8837353431169308,0.0744130766785643,2.706611058463639,0.0,1683.0,1235.0,
5,559.5940,3.16e+12,1.0,0.0,4367.08540047288,376.88542074295765,1.20e+05,280537.2957510394,14340.732408826494,0.0,0.00021380878226523968,0.6448617790019031,0.6560885157165257,0.7761854006983905,0.7662223786154406,2.0875629156718563,0.0,1683.0,1235.0,
6,654.8040,3.16e+12,1.0,0.0,4367.08540047288,376.88542074295765,1.20e+05,280537.2957510394,14340.732408826494,0.0,0.00021380878226523968,0.6448617790019031,0.6560885157165257,0.7761854006983905,0.7662223786154406,2.0875629156718563,0.0,1683.0,1235.0,
7,750.9910,3.68e+12,1.0,0.0,2462.7618765708257,2308.375815974318,1.16e+05,175495.12913862104,18381.444365671996,0.0,0.0001007445348376743,0.30885126482511593,0.5477255587916636,0.5171783440618872,0.40155930424513486,1.3814879022249382,0.0,1683.0,1235.0,
8,868.9460,4.99e+12,1.0,0.0,4621.462705765629,1810.2256351906465,1.26e+05,154396.3198906214,27386.69019830606,0.0,7.505846848051001e-05,0.6980027090161929,0.7365804194456074,0.7091748753734207,0.28427954288574897,1.4576182781173528,0.0,1683.0,1235.0,
9,966.7590,4.99e+12,1.0,0.0,4621.462705765629,1810.2256351906465,1.26e+05,154396.3198906214,27386.69019830606,0.0,7.505846848051001e-05,0.6980027090161929,0.7365804194456074,0.7091748753734207,0.28427954288574897,1.4576182781173528,0.0,1683.0,1235.0,
10,1088.6200,2.40e+12,1.0,0.0,4264.6755385466695,1880.3718225352263,1.22e+05,139869.19017742077,26095.159503007922,0.0,6.827667414854091e-05,0.6535928549051329,0.7468708836098018,0.773341561396516,0.1944970948847347,2.2574710509830727,0.0,1683.0,1235.0,
11,1199.3950,2.40e+12,1.0,0.0,4264.6755385466695,1880.3718225352263,1.22e+05,139869.19017742077,26095.159503007922,0.0,6.827667414854091e-05,0.6535928549051329,0.7468708836098018,0.773341561396516,0.1944970948847347,2.2574710509830727,0.0,1683.0,1235.0,
12,1315.3130,3.38e+12,1.0,0.0,3580.6970560789287,2064.860747218223,1.22e+05,169508.9994533243,22476.99705185827,0.0,6.502539068112482e-05,0.5395930053278235,0.6073377075537716,0.5933853434777927,0.36604960387812546,1.6267299943460616,0.0,1683.0,1235.0,
13,1423.0310,4.46e+12,1.0,0.0,3608.348732052869,1877.2986462401718,1.29e+05,167378.71180826434,20830.148195835758,0.0,5.1271641749752885e-05,0.654507633728889,0.7238063123038647,0.5409615559935341,0.2510738375316141,1.874215526509614,0.0,1683.0,1235.0,
14,1521.7110,3.08e+12,1.0,0.0,3992.2908545098835,1912.0160033798775,1.21e+05,153492.84343341336,24324.500730417363,0.0,2.0289167931188146e-05,0.562945555691931,0.6951681740753808,0.661511436327067,0.2918898005681999,1.8841490160231058,0.0,1683.0,1235.0,
15,1630.5160,3.08e+12,1.0,0.0,3992.2908545098835,1912.0160033798775,1.21e+05,153492.84343341336,24324.500730417363,0.0,2.0289167931188146e-05,0.562945555691931,0.6951681740753808,0.661511436327067,0.2918898005681999,1.8841490160231058,0.0,1683.0,1235.0,
16,1741.0550,3.08e+12,1.0,0.0,3992.2908545098835,1912.0160033798775,1.21e+05,153492.84343341336,24324.500730417363,0.0,2.0289167931188146e-05,0.562945555691931,0.6951681740753808,0.661511436327067,0.2918898005681999,1.8841490160231058,0.0,1683.0,1235.0,
17,1862.0080,3.08e+12,1.0,0.0,3992.2908545098835,1912.0160033798775,1.21e+05,153492.84343341336,24324.500730417363,0.0,2.0289167931188146e-05,0.562945555691931,0.6951681740753808,0.661511436327067,0.2918898005681999,1.8841490160231058,0.0,1683.0,1235.0,
18,1978.8190,3.08e+12,1.0,0.0,3992.2908545098835,1912.0160033798775,1.21e+05,153492.84343341336,24324.500730417363,0.0,2.0289167931188146e-05,0.562945555691931,0.6951681740753808,0.661511436327067,0.2918898005681999,1.8841490160231058,0.0,1683.0,1235.0,
19,2092.7266,3.08e+12,1.0,0.0,3992.2908545098835,1912.0160033798775,1.21e+05,153492.84343341336,24324.500730417363,0.0,2.0289167931188146e-05,0.562945555691931,0.6951681740753808,0.661511436327067,0.2918898005681999,1.8841490160231058,0.0,1683.0,1235.0,
20,2202.5905,3.30e+12,1.0,0.0,3952.659436331811,1867.2784518432304,1.21e+05,152538.72864220798,24076.21384045254,0.0,1.879149579512925e-05,0.5645155782105763,0.662643162093743,0.6286689305689319,0.2998056576929422,1.8246327592065223,0.0,1683.0,1235.0,
21,2323.6454,3.60e+12,1.0,0.0,3895.4281084800896,1906.3254386017416,1.22e+05,160096.29248743548,23995.771162781763,0.0,1.706088328319261e-05,0.5605422128675601,0.6680648576888022,0.6346155569174877,0.3021272683959142,1.7481309406546237,0.0,1683.0,1235.0,
22,2437.4022,3.55e+12,1.0,0.0,3883.4316993346474,1887.420827326841,1.22e+05,161681.18835282658,23737.603332023536,0.0,1.655636331134962e-05,0.5582500785935403,0.664222851368538,0.6172591819796098,0.31887818499772963,1.7478432744092047,0.0,1683.0,1235.0,
23,2543.3324,3.55e+12,1.0,0.0,3754.742443396267,1926.770421862503,1.23e+05,161891.46769135148,23592.680642590683,0.0,1.5266481996399874e-05,0.5559733535302924,0.6568068441558064,0.6102851807976727,0.302996972152168,1.6914290813226656,0.0,1683.0,1235.0,
24,2663.5957,3.53e+12,1.0,0.0,3857.0879335415616,1910.9793392232777,1.22e+05,161552.45408677188,23490.722451399117,0.0,1.4952216764944815e-05,0.5634956507190367,0.6653230523951681,0.6162305090007458,0.3138566953413932,1.734963541101827,0.0,1683.0,1235.0,
