# Time [s], Mass [Kg]
1.000000000000000000e+00,1.103177148479999869e-01
2.000000000000000000e+00,1.103177148479999869e-01
3.000000000000000000e+00,1.103177148479999869e-01
4.000000000000000000e+00,1.103177148479999869e-01
5.000000000000000000e+00,1.103177148479999869e-01
6.000000000000000000e+00,1.103177148479999869e-01
7.000000000000000000e+00,1.103177148479999869e-01
8.000000000000000000e+00,1.103177148479999869e-01
9.000000000000000000e+00,1.103177148479999731e-01
1.000000000000000000e+01,1.103177148479999731e-01
1.100000000000000000e+01,1.103177148479999453e-01
1.200000000000000000e+01,1.103177148479999176e-01
1.300000000000000000e+01,1.103177148479998620e-01
1.400000000000000000e+01,1.103177148479997649e-01
1.500000000000000000e+01,1.103177148479996122e-01
1.600000000000000000e+01,1.103177148479993624e-01
1.700000000000000000e+01,1.103177148479989877e-01
1.800000000000000000e+01,1.103177148479984188e-01
1.900000000000000000e+01,1.103177148479975861e-01
2.000000000000000000e+01,1.103177148479963787e-01
2.100000000000000000e+01,1.103177148479946579e-01
2.200000000000000000e+01,1.103177148479922293e-01
2.300000000000000000e+01,1.103177148479888570e-01
2.400000000000000000e+01,1.103177148479842357e-01
2.500000000000000000e+01,1.103177148479779768e-01
2.600000000000000000e+01,1.103177148479696085e-01
2.700000000000000000e+01,1.103177148479584924e-01
2.800000000000000000e+01,1.103177148479438929e-01
2.900000000000000000e+01,1.103177148479248804e-01
3.000000000000000000e+01,1.103177148479003306e-01
3.100000000000000000e+01,1.103177148478688696e-01
3.200000000000000000e+01,1.103177148478288738e-01
3.300000000000000000e+01,1.103177148477783587e-01
3.400000000000000000e+01,1.103177148477149927e-01
3.500000000000000000e+01,1.103177148476359865e-01
3.600000000000000000e+01,1.103177148475380787e-01
3.700000000000000000e+01,1.103177148474174391e-01
3.800000000000000000e+01,1.103177148472695712e-01
3.900000000000000000e+01,1.103177148470892710e-01
4.000000000000000000e+01,1.103177148468704877e-01
4.100000000000000000e+01,1.103177148466062407e-01
4.200000000000000000e+01,1.103177148462885365e-01
4.300000000000000000e+01,1.103177148459081602e-01
4.400000000000000000e+01,1.103177148454546203e-01
4.500000000000000000e+01,1.103177148449159400e-01
4.600000000000000000e+01,1.103177148442785610e-01
4.700000000000000000e+01,1.103177148435270927e-01
4.800000000000000000e+01,1.103177148426441878e-01
4.900000000000000000e+01,1.103177148416103065e-01
5.000000000000000000e+01,1.103177148404034802e-01
5.100000000000000000e+01,1.103177148389990897e-01
5.200000000000000000e+01,1.103177148373696570e-01
5.300000000000000000e+01,1.103177148354844983e-01
5.400000000000000000e+01,1.103177148333094187e-01
5.500000000000000000e+01,1.103177148308065181e-01
5.600000000000000000e+01,1.103177148279337189e-01
5.700000000000000000e+01,1.103177148246444472e-01
5.800000000000000000e+01,1.103177148208873276e-01
5.900000000000000000e+01,1.103177148166056415e-01
6.000000000000000000e+01,1.103177148117369388e-01
