# Time [s], Mass [Kg]
0.000000000000000000e+00,1.159595100160000086e-01
1.000000000000000000e+00,1.159595100160000086e-01
2.000000000000000000e+00,1.159595100160000086e-01
3.000000000000000000e+00,1.159595100159999947e-01
4.000000000000000000e+00,1.159595100159999809e-01
5.000000000000000000e+00,1.159595100159999531e-01
6.000000000000000000e+00,1.159595100159998976e-01
7.000000000000000000e+00,1.159595100159997866e-01
8.000000000000000000e+00,1.159595100159995507e-01
9.000000000000000000e+00,1.159595100159991204e-01
1.000000000000000000e+01,1.159595100159983294e-01
1.100000000000000000e+01,1.159595100159969278e-01
1.200000000000000000e+01,1.159595100159945685e-01
1.300000000000000000e+01,1.159595100159906411e-01
1.400000000000000000e+01,1.159595100159843267e-01
1.500000000000000000e+01,1.159595100159743902e-01
1.600000000000000000e+01,1.159595100159590830e-01
1.700000000000000000e+01,1.159595100159359765e-01
1.800000000000000000e+01,1.159595100159016845e-01
1.900000000000000000e+01,1.159595100158516551e-01
2.000000000000000000e+01,1.159595100157797820e-01
2.100000000000000000e+01,1.159595100156779884e-01
2.200000000000000000e+01,1.159595100155356856e-01
2.300000000000000000e+01,1.159595100153392178e-01
2.400000000000000000e+01,1.159595100150710850e-01
2.500000000000000000e+01,1.159595100147090413e-01
2.600000000000000000e+01,1.159595100142251645e-01
2.700000000000000000e+01,1.159595100135845658e-01
2.800000000000000000e+01,1.159595100127440853e-01
2.900000000000000000e+01,1.159595100116506405e-01
3.000000000000000000e+01,1.159595100102394777e-01
3.100000000000000000e+01,1.159595100084320346e-01
3.200000000000000000e+01,1.159595100061336370e-01
3.300000000000000000e+01,1.159595100032308479e-01
3.400000000000000000e+01,1.159595099995884282e-01
3.500000000000000000e+01,1.159595099950461450e-01
3.600000000000000000e+01,1.159595099894149689e-01
3.700000000000000000e+01,1.159595099824729802e-01
3.800000000000000000e+01,1.159595099739609281e-01
3.900000000000000000e+01,1.159595099635771648e-01
4.000000000000000000e+01,1.159595099509722199e-01
4.100000000000000000e+01,1.159595099357427911e-01
4.200000000000000000e+01,1.159595099174252769e-01
4.300000000000000000e+01,1.159595098954886716e-01
4.400000000000000000e+01,1.159595098693269460e-01
4.500000000000000000e+01,1.159595098382506934e-01
4.600000000000000000e+01,1.159595098014782888e-01
4.700000000000000000e+01,1.159595097581262724e-01
4.800000000000000000e+01,1.159595097071990238e-01
4.900000000000000000e+01,1.159595096475777160e-01
5.000000000000000000e+01,1.159595095780087542e-01
