Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
-1,0,2.83e+10,1.0,7531.629160287197,1.02e+05,1544379.0495422904,608.4283921718021,0.0018599231068867114,0.8107748116506734,0.07063458809942676,2.9237911178560294,0.0,1180.0,
0,136.3790,1.51e+11,1.0,3221.7001999848417,1.35e+05,957570.9185705017,2445.3532710009167,0.0002681840833036857,0.7000985786330738,0.4552370794141505,2.108878576979321,0.0,1180.0,
1,290.3050,1.51e+11,1.0,3221.7001999848417,1.35e+05,957570.9185705017,2445.3532710009167,0.0002681840833036857,0.7000985786330738,0.4552370794141505,2.108878576979321,0.0,1180.0,
2,435.0560,1.51e+11,1.0,3221.7001999848417,1.35e+05,957570.9185705017,2445.3532710009167,0.0002681840833036857,0.7000985786330738,0.4552370794141505,2.108878576979321,0.0,1180.0,
3,600.6290,1.51e+11,1.0,3221.7001999848417,1.35e+05,957570.9185705017,2445.3532710009167,0.0002681840833036857,0.7000985786330738,0.4552370794141505,2.108878576979321,0.0,1180.0,
4,762.0620,1.28e+11,1.0,3982.3044711401103,1.28e+05,1110051.4426046982,1747.0992009071147,0.0001587156274690215,0.7553992760697621,0.45016651371971605,2.2478748240509834,0.0,1180.0,
5,957.4690,1.33e+11,1.0,3854.206385366053,1.29e+05,1079443.6186745006,1766.1311585689668,0.00014644957956664621,0.7395396905797554,0.42962631442465404,2.449824495084467,0.0,1180.0,
6,1151.1690,1.32e+11,1.0,3957.692112928598,1.30e+05,1134964.8947534114,1425.4119795091742,0.00012873083259767326,0.7764703003482973,0.4916674886988243,2.0605174346535886,0.0,1180.0,
7,1352.2600,1.25e+11,1.0,3462.3240901616455,1.29e+05,967994.8940120253,1470.6617173359655,0.00012592563783868122,0.682774485493933,0.40479485891830225,2.8747577720804225,0.0,1180.0,
8,1545.8590,1.50e+11,1.0,4589.28323552941,1.31e+05,1337174.3914699666,1300.7879974100802,0.00011996940679009468,0.902308538268718,0.5533462330075452,1.1542256043505783,0.0,1180.0,
9,1732.5230,1.31e+11,1.0,4928.380914218367,1.29e+05,1392792.4687807616,1008.1929531994092,9.9847665341059e-05,0.9243284959081236,0.5484145407643638,2.291032787027278,0.0,1180.0,
10,1914.8110,1.40e+11,1.0,5119.807073139253,1.30e+05,1488593.018796979,774.0578905697164,8.474253037477654e-05,0.9831248296303292,0.5839861844090997,1.906339247314408,0.0,1180.0,
11,2081.0520,1.24e+11,1.0,5454.9803396839125,1.28e+05,1518935.9283375172,721.3060607710429,7.303568549251682e-05,0.9976227297302998,0.5734309162417427,2.9161381861694347,0.0,1180.0,
12,2248.0690,1.10e+11,1.0,5467.717671056131,1.27e+05,1490226.1979050017,683.3796795344858,6.086411723418712e-05,0.9734708938640688,0.5556917875643782,3.6185644468249434,0.0,1180.0,
13,2419.1920,1.11e+11,1.0,5419.896050245827,1.27e+05,1476147.468236078,664.536028872375,5.9990855577712715e-05,0.9690287651738979,0.5537640403773394,3.614123472316783,0.0,1180.0,
14,2592.3930,1.11e+11,1.0,5461.751102262867,1.27e+05,1490699.3288501853,662.6062093562983,5.95672262425621e-05,0.9747518574360556,0.5544985799802922,3.6106027185838974,0.0,1180.0,
15,2748.7420,1.11e+11,1.0,5444.557151440229,1.27e+05,1486471.9915310834,657.4010207428046,5.8365550353255035e-05,0.9743311478843334,0.554119827442263,3.6273949617923087,0.0,1180.0,
16,2903.7140,1.11e+11,1.0,5444.583555522855,1.27e+05,1489469.5626219013,650.3822038150158,5.798913882287134e-05,0.9774700663554885,0.5544068507426203,3.6381601032810402,0.0,1180.0,
17,3051.8000,1.14e+11,1.0,5494.769328507042,1.28e+05,1513510.3751882475,632.3806278588715,5.639290118374546e-05,0.9942324392694801,0.5580672412557461,3.6292370004236565,0.0,1180.0,
18,3199.5520,1.14e+11,1.0,5498.10213915856,1.28e+05,1516798.1320376368,629.4151619084316,5.5791491121164585e-05,0.9961548692533087,0.5574113864490419,3.6296426956787187,0.0,1180.0,
19,3353.8520,1.14e+11,1.0,5509.970047442053,1.28e+05,1521617.07324249,629.5151587914079,5.534382563605954e-05,0.9990042876082523,0.557814923397913,3.6329963946723858,0.0,1180.0,
20,3496.6360,1.14e+11,1.0,5508.077019029544,1.28e+05,1523839.0920307583,623.7929033958651,5.51439635867881e-05,0.9995859561426799,0.5569913277576473,3.6361848421214633,0.0,1180.0,
21,3637.8120,1.93e+11,1.0,5970.238452277439,1.25e+05,1492996.7753031468,588.9047401766413,5.036882607545911e-05,0.9530679077510125,0.5574172860463871,2.422730782632805,0.0,1180.0,
