# Time [s], Mass [Kg]
1.000000000000000000e+00,1.168803071421440076e-01
2.000000000000000000e+00,1.168803071421440076e-01
3.000000000000000000e+00,1.168803071421440076e-01
4.000000000000000000e+00,1.168803071421440076e-01
5.000000000000000000e+00,1.168803071421439937e-01
6.000000000000000000e+00,1.168803071421439937e-01
7.000000000000000000e+00,1.168803071421439660e-01
8.000000000000000000e+00,1.168803071421438966e-01
9.000000000000000000e+00,1.168803071421437717e-01
1.000000000000000000e+01,1.168803071421435080e-01
1.100000000000000000e+01,1.168803071421430223e-01
1.200000000000000000e+01,1.168803071421421480e-01
1.300000000000000000e+01,1.168803071421406076e-01
1.400000000000000000e+01,1.168803071421379985e-01
1.500000000000000000e+01,1.168803071421336964e-01
1.600000000000000000e+01,1.168803071421267992e-01
1.700000000000000000e+01,1.168803071421159884e-01
1.800000000000000000e+01,1.168803071420994183e-01
1.900000000000000000e+01,1.168803071420744660e-01
2.000000000000000000e+01,1.168803071420376205e-01
2.100000000000000000e+01,1.168803071419840522e-01
2.200000000000000000e+01,1.168803071419073775e-01
2.300000000000000000e+01,1.168803071417991724e-01
2.400000000000000000e+01,1.168803071416484457e-01
2.500000000000000000e+01,1.168803071414410560e-01
2.600000000000000000e+01,1.168803071411589345e-01
2.700000000000000000e+01,1.168803071407792660e-01
2.800000000000000000e+01,1.168803071402734206e-01
2.900000000000000000e+01,1.168803071396058019e-01
3.000000000000000000e+01,1.168803071387324866e-01
3.100000000000000000e+01,1.168803071375996705e-01
3.200000000000000000e+01,1.168803071361418505e-01
3.300000000000000000e+01,1.168803071342798539e-01
3.400000000000000000e+01,1.168803071319185344e-01
3.500000000000000000e+01,1.168803071289441636e-01
3.600000000000000000e+01,1.168803071252215997e-01
3.700000000000000000e+01,1.168803071205911231e-01
3.800000000000000000e+01,1.168803071148647732e-01
3.900000000000000000e+01,1.168803071078224898e-01
4.000000000000000000e+01,1.168803070992078391e-01
4.100000000000000000e+01,1.168803070887231149e-01
4.200000000000000000e+01,1.168803070760242174e-01
4.300000000000000000e+01,1.168803070607150885e-01
4.400000000000000000e+01,1.168803070423413137e-01
4.500000000000000000e+01,1.168803070203836003e-01
4.600000000000000000e+01,1.168803069942505879e-01
4.700000000000000000e+01,1.168803069632708969e-01
4.800000000000000000e+01,1.168803069266848016e-01
4.900000000000000000e+01,1.168803068836354597e-01
5.000000000000000000e+01,1.168803068331587536e-01
5.100000000000000000e+01,1.168803067741733814e-01
5.200000000000000000e+01,1.168803067054702133e-01
5.300000000000000000e+01,1.168803066256998285e-01
5.400000000000000000e+01,1.168803065333606089e-01
5.500000000000000000e+01,1.168803064267862346e-01
5.600000000000000000e+01,1.168803063041305573e-01
5.700000000000000000e+01,1.168803061633537366e-01
5.800000000000000000e+01,1.168803060022075846e-01
5.900000000000000000e+01,1.168803058182175808e-01
6.000000000000000000e+01,1.168803056086669678e-01
6.100000000000000000e+01,1.168803053705799039e-01
6.200000000000000000e+01,1.168803051007005767e-01
6.300000000000000000e+01,1.168803047954748708e-01
6.400000000000000000e+01,1.168803044510313416e-01
6.500000000000000000e+01,1.168803040631562901e-01
6.600000000000000000e+01,1.168803036272740015e-01
6.700000000000000000e+01,1.168803031384260532e-01
6.800000000000000000e+01,1.168803025912418803e-01
6.900000000000000000e+01,1.168803019799171533e-01
7.000000000000000000e+01,1.168803012981910472e-01
7.100000000000000000e+01,1.168803005393126287e-01
7.200000000000000000e+01,1.168802996960171120e-01
7.300000000000000000e+01,1.168802987605012389e-01
7.400000000000000000e+01,1.168802977243848934e-01
7.500000000000000000e+01,1.168802965786856912e-01
7.600000000000000000e+01,1.168802953137925982e-01
7.700000000000000000e+01,1.168802939194230894e-01
7.800000000000000000e+01,1.168802923845954495e-01
7.900000000000000000e+01,1.168802906975998923e-01
8.000000000000000000e+01,1.168802888459484490e-01
8.100000000000000000e+01,1.168802868163482389e-01
8.200000000000000000e+01,1.168802845946737973e-01
8.300000000000000000e+01,1.168802821659072899e-01
8.400000000000000000e+01,1.168802795141116457e-01
8.500000000000000000e+01,1.168802766224018991e-01
8.600000000000000000e+01,1.168802734728781462e-01
8.700000000000000000e+01,1.168802700465978450e-01
8.800000000000000000e+01,1.168802663235461448e-01
8.900000000000000000e+01,1.168802622825607929e-01
9.000000000000000000e+01,1.168802579013043935e-01
9.100000000000000000e+01,1.168802531562345426e-01
9.200000000000000000e+01,1.168802480225217960e-01
9.300000000000000000e+01,1.168802424740197493e-01
9.400000000000000000e+01,1.168802364832330493e-01
9.500000000000000000e+01,1.168802300212198886e-01
9.600000000000000000e+01,1.168802230575705925e-01
9.700000000000000000e+01,1.168802155603832493e-01
9.800000000000000000e+01,1.168802074961461379e-01
9.900000000000000000e+01,1.168801988297187427e-01
1.000000000000000000e+02,1.168801895243090916e-01
1.010000000000000000e+02,1.168801795413434985e-01
1.020000000000000000e+02,1.168801688404484951e-01
1.030000000000000000e+02,1.168801573794289866e-01
1.040000000000000000e+02,1.168801451141244924e-01
1.050000000000000000e+02,1.168801319983934911e-01
1.060000000000000000e+02,1.168801179840939924e-01
1.070000000000000000e+02,1.168801030209294933e-01
1.080000000000000000e+02,1.168800870564309924e-01
1.090000000000000000e+02,1.168800700359349937e-01
1.100000000000000000e+02,1.168800519023974888e-01
1.110000000000000000e+02,1.168800325963999936e-01
1.120000000000000000e+02,1.168800120561494932e-01
1.130000000000000000e+02,1.168799902172514976e-01
1.140000000000000000e+02,1.168799670127234902e-01
1.150000000000000000e+02,1.168799423729994930e-01
1.160000000000000000e+02,1.168799162256819874e-01
1.170000000000000000e+02,1.168798884955599970e-01
1.180000000000000000e+02,1.168798591046164986e-01
1.190000000000000000e+02,1.168798279717574995e-01
1.200000000000000000e+02,1.168797950128374896e-01
1.210000000000000000e+02,1.168797601406744990e-01
1.220000000000000000e+02,1.168797232647639933e-01
1.230000000000000000e+02,1.168796842912984968e-01
1.240000000000000000e+02,1.168796431231784866e-01
1.250000000000000000e+02,1.168795996596694864e-01
